extract.id,document.id,document.year
1388,588,1942
1389,589,1910
1390,590,1885
1391,591,1902
1392,591,1902
1393,591,1902
1394,591,1902
1395,591,1902
1396,591,1902
1397,592,1943
1398,592,1943
1399,593,1891
1400,593,1891
1401,593,1891
1402,595,1988
1403,595,1988
1404,596,1940
1405,596,1940
1406,596,1940
1407,596,1940
1408,597,1966
1409,597,1966
1410,597,1966
1411,597,1966
1412,598,1897
1413,598,1897
1414,598,1897
1415,598,1897
1416,599,1967
1417,599,1967
1418,599,1967
1419,599,1967
1420,599,1967
1421,599,1967
1422,599,1967
1423,599,1967
1424,599,1967
1425,600,1926
1426,601,1928
1427,602,1954
1428,602,1954
1429,116,1820
1430,116,1820
1431,116,1820
1432,603,1964
1433,604,1968
1434,605,1982
1435,606,1985
1436,607,2003
1437,608,1960
1438,609,1937
1439,609,1937
1440,609,1937
1441,610,2001
1442,611,1977
1443,611,1977
1444,611,1977
1445,611,1977
1446,612,1966
1447,612,1966
1448,614,1956
1449,615,1972
1450,616,1988
1451,618,1932
1452,618,1932
1453,618,1932
1454,618,1932
1455,618,1932
1456,619,1946
1457,619,1946
1458,621,1936
1459,621,1936
1460,621,1936
1461,622,1977
1462,583,1989
1463,583,1989
1464,623,1986
1465,624,1946
1466,625,1972
1467,626,1995
1468,627,1981
1469,627,1981
1470,628,1928
1471,629,1978
1472,629,1978
1473,630,1965
1474,630,1965
1475,630,1965
1476,630,1965
1477,630,1965
1478,631,2008
1479,631,2008
1480,631,2008
1481,632,1941
1482,633,1933
1483,634,1949
1484,635,1960
1485,636,2009
1486,637,1983
1487,638,1983
1488,638,1983
1489,639,1985
1490,640,1987
1491,641,1990
1492,642,1961
1493,642,1961
1494,642,1961
1495,643,1950
1496,643,1950
1497,643,1950
1498,643,1950
1499,643,1950
1500,643,1950
1501,643,1950
1502,643,1950
1503,644,1953
1504,645,1963
1505,645,1963
1506,646,1950
1507,647,1924
1508,647,1924
1509,647,1924
1510,647,1924
1511,647,1924
1512,648,1924
1513,648,1924
1514,649,1952
1515,651,1923
1516,651,1923
1517,652,1939
1518,652,1939
1519,652,1939
1520,652,1939
1521,653,1963
1522,654,1934
1523,654,1934
1524,656,1990
1525,656,1990
1526,656,1990
1527,656,1990
1528,656,1990
1529,656,1990
1530,656,1990
1531,656,1990
1532,656,1990
1533,656,1990
1534,656,1990
1535,656,1990
1536,656,1990
1537,656,1990
1538,656,1990
1539,659,1985
1540,660,1987
1541,661,1948
1542,662,1952
1543,662,1952
1544,662,1952
1545,662,1952
1546,662,1952
1547,306,1972
1548,306,1972
1549,663,1946
1550,663,1946
1551,663,1946
1552,664,1964
1553,665,1961
1554,666,1957
1555,666,1957
1556,666,1957
1557,666,1957
1558,666,1957
1559,666,1957
1560,666,1957
1561,666,1957
1562,666,1957
1563,666,1957
1564,666,1957
1565,666,1957
1566,666,1957
1567,668,1951
1568,668,1951
1569,668,1951
1570,668,1951
1571,669,1945
1572,669,1945
1573,669,1945
1574,670,1990
1575,670,1990
1576,670,1990
1577,670,1990
1578,671,1046
1579,671,1046
1580,671,1046
1581,671,1046
1582,672,1948
1583,673,1948
1584,674,1957
1585,674,1957
1586,674,1957
1587,675,1948
1588,675,1948
1589,675,1948
1590,675,1948
1591,675,1948
1592,675,1948
1593,675,1948
1594,675,1948
1595,675,1948
1596,675,1948
1597,675,1948
1598,675,1948
1599,675,1948
1600,675,1948
1601,675,1948
1602,675,1948
1603,675,1948
1604,675,1948
1605,675,1948
1606,675,1948
1607,676,1947
1608,676,1947
1609,676,1947
1610,676,1947
1611,676,1947
1612,676,1947
1613,676,1947
1614,676,1947
1615,676,1947
1616,676,1947
1617,676,1947
1618,677,1968
1619,677,1968
1620,677,1968
1621,677,1968
1622,307,1946
1623,678,1891
1624,679,1840
1625,680,1804
1626,679,1840
1627,679,1840
1628,679,1840
1629,679,1840
1630,681,1970
1631,681,1970
1632,682,1944
1633,682,1944
1634,684,1967
1635,685,1982
1636,686,1967
1637,686,1967
1638,686,1967
1639,686,1967
1640,686,1967
1641,688,1983
1642,689,1938
1643,691,1963
1644,692,1963
1645,692,1963
1646,693,1964
1647,694,1970
1648,695,1961
1649,696,1954
1650,556,1938
1651,698,1935
1652,698,1935
1653,699,1989
1654,700,1912
1655,701,1983
1656,702,1935
1657,702,1935
1658,702,1935
1659,702,1935
1660,702,1935
1661,702,1935
1662,702,1935
1663,703,1898
1664,703,1898
1665,704,1972
1666,704,1972
1667,706,1926
1668,707,1944
1669,708,1952
1670,709,1930
1671,709,1930
1672,710,1955
1673,710,1955
1674,710,1955
1675,711,1958
1676,711,1958
1677,711,1958
1678,711,1958
1679,711,1958
1680,712,1954
1681,713,1955
1682,713,1955
1683,714,1815
1684,714,1815
1685,714,1815
1686,714,1815
1687,715,1810
1688,715,1810
1689,717,1933
1690,717,1933
1691,717,1933
1692,718,1975
1693,718,1975
1694,719,1920
1695,719,1920
1696,719,1920
1697,719,1920
1698,719,1920
1699,719,1920
1700,719,1920
1701,719,1920
1702,719,1920
1703,719,1920
1704,719,1920
1705,720,1917
1706,721,1939
1707,722,1941
1708,723,1953
1709,723,1953
1710,723,1953
1711,723,1953
1712,724,1935
1713,725,1920
1714,725,1920
1715,726,1896
1716,726,1896
1717,726,1896
1718,726,1896
1719,727,1967
1720,728,1920
1721,729,1921
1722,730,1953
1723,731,1906
1724,731,1906
1725,733,1949
1726,734,1991
1727,735,1977
1728,735,1977
1729,736,1936
1730,737,1967
1731,737,1967
1732,739,1958
1733,740,1915
1734,740,1915
1735,741,1909
1736,742,1946
1737,743,1975
1738,744,1894
1739,745,1943
1740,746,1952
1741,746,1952
1742,747,1915
1743,749,1953
1744,749,1953
1745,750,1929
1746,751,1903
1747,752,1939
1748,753,1914
1749,754,1903
1750,754,1903
1751,755,1969
1752,756,1972
1753,757,1961
1754,757,1961
1755,757,1961
1756,757,1961
1757,758,1956
1758,759,1971
1759,760,1978
1760,760,1978
1761,760,1978
1762,760,1978
1763,761,1933
1764,762,1990
1765,762,1990
1766,763,1975
1767,764,1975
1768,764,1975
1769,764,1975
1770,764,1975
1771,765,1977
1772,766,1985
1773,767,1925
1774,767,1925
1775,767,1925
1776,767,1925
1777,767,1925
1778,768,1956
1779,769,1951
1780,770,1968
1781,770,1968
1782,771,1956
1783,775,1933
1784,776,1924
1785,776,1924
1786,777,1894
1787,778,1939
1788,49,1955
1789,781,1967
1790,786,1936
1791,788,1933
1792,789,1899
1793,790,1882
1794,791,1963
1795,792,1962
1796,793,1932
1797,794,1982
1798,795,1899
1799,796,1965
1800,797,1957
1801,797,1957
1802,797,1957
1803,797,1957
1804,797,1957
1805,797,1957
1806,798,1965
1807,800,1929
1808,801,1939
1809,801,1939
1810,803,1944
1811,804,1957
1812,804,1957
1813,805,1983
1814,805,1983
1815,806,1988
1816,807,1897
1817,808,1971
1818,808,1971
1819,809,1937
1820,809,1937
1821,809,1937
1822,809,1937
1823,809,1937
1824,809,1937
1825,810,1942
1826,811,1962
1827,812,1963
1828,812,1963
1829,812,1963
1830,812,1963
1831,812,1963
1832,812,1963
1833,812,1963
1834,813,1938
1835,814,1945
1836,814,1945
1837,815,1921
1838,816,1941
1839,816,1941
1840,817,1918
1841,818,1948
1842,818,1948
1843,818,1948
1844,820,1949
1845,821,1941
1846,822,1949
1847,822,1949
1848,823,1978
1849,791,1963
1850,830,1999
1851,829,1992
1852,827,1909
1853,826,1894
1854,825,1933
1855,824,1870
1856,212,1940
1857,184,1966
1858,235,1969
1859,235,1969
1860,235,1969
1861,235,1969
1862,244,1984
1863,244,1984
1864,244,1984
1867,14,1989
1868,54,1944
1869,64,1904
1870,64,1904
1871,71,1892
1872,82,1897
1873,105,1972
1874,120,1982
1875,120,1982
1876,120,1982
1877,120,1982
1878,120,1982
1879,120,1982
